# registration_from_features.py TEASER TEASER_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/benchmark/point_clouds_registration_benchmark//tum/pioneer_slam3_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark//tum/pioneer_slam3/ --input_features_dir=/benchmark/experiments/FPFH/features/voxelgrid_0.1//tum/pioneer_slam3/ --output_dir=/benchmark/experiments/FPFH/results/voxelgrid_0.1/TEASER/
id;initial_error;final_error;transformation;status_code
39885980090030;15.205318337116758;0.08714631332248153;0.5825321039267936  -0.657294486193277  0.4781425585686129  14.152141484816719  -0.8111404844105231  -0.5077693977938688  0.290209154256571  11.339590015744344  0.05203328208834572  -0.5568969357825272  -0.8289501435376838  0.28315348580562455  0.0  0.0  0.0  1.0;ok
39885980090061;13.318166755923231;0.04710304560972734;0.7699341504822627  -0.5135480760366544  -0.37877404546801763  3.2241661556553756  0.6347543219011094  0.5554413510359199  0.5371888461121059  10.15912778074166  -0.06548553083712566  -0.6540285002646625  0.7536301255208268  0.037802601987077085  0.0  0.0  0.0  1.0;ok
39885980090092;16.131758473986306;0.06583255843699512;-0.49433326675060996  -0.8420724421913399  0.21575130007854673  8.41498707934666  0.1339103850140375  0.17146625187620523  0.976046788454795  12.250092942893145  -0.8588961696090298  0.5113837370990975  0.02800077251610554  7.865041884862625  0.0  0.0  0.0  1.0;ok
39885980090123;12.985542941208589;0.09588319393414292;0.4937883923021076  -0.6701001626865618  0.5542010425785421  8.406984329439927  -0.3439826347163413  -0.7358564006432595  -0.5832592087965268  -3.6748880481805566  0.798654475127576  0.09737109221832616  -0.5938601685236234  -9.041037407677694  0.0  0.0  0.0  1.0;ok
39885980090154;12.128119033469892;0.07984113187227192;-0.7015974381599054  -0.6663684805513039  -0.2524164869718364  11.083226320983686  -0.7048897608654479  0.5971490843607627  0.3828098693531218  -0.12267735093874228  -0.1043621569080905  0.44650422078055263  -0.8886745866911251  10.287462024856241  0.0  0.0  0.0  1.0;ok
39885980090185;6.628057703543316;0.07973398534350586;-0.7460447312118296  -0.6649947991900906  -0.03462912186584964  7.538717084804344  -0.1340541673723897  0.09904691583383304  0.9860117588923071  2.6578603709404938  -0.6522627838848118  0.7402510557330784  -0.1630387538130098  5.740742316327266  0.0  0.0  0.0  1.0;ok
39885980090216;5.823010286342225;0.06442107324572809;-0.1622342834895954  -0.5268968029385691  0.8343019814873587  7.629227307707202  -0.9635996016302033  0.266676483987009  -0.018959446891738785  3.5738671608725134  -0.2124990470537023  -0.8070089292823476  -0.5509816177149891  -0.8040408718829358  0.0  0.0  0.0  1.0;ok
39885980090247;5.3740242030998315;0.04884907348812882;0.8018967145009281  -0.5111497372243199  -0.30933413230377127  -3.9590368603877657  0.5213738257110718  0.34583675518720713  0.7801065777347255  -0.6651855323608047  -0.29177215963148173  -0.7868436216282713  0.5438254517461352  2.2860576325056825  0.0  0.0  0.0  1.0;ok
39885980090278;4.39500473301532;0.05252127004446876;-0.294518070920361  -0.10114401160217464  0.9502783775391128  2.9161608601400237  -0.9175251054626006  0.30798024531095  -0.2515866636848046  4.601846570545272  -0.267220483397499  -0.9460010874281415  -0.18350791764275615  5.154448677710201  0.0  0.0  0.0  1.0;ok
39885980090309;6.062761454151005;0.10259719209156773;0.8065142353480599  -0.10551898321929996  -0.5817220404637411  5.361282985972486  0.2231780745740824  -0.8568071294159131  0.4648366272266715  0.3386109585853414  -0.5474726798757531  -0.5047249618974947  -0.6674776233157439  6.057706007336137  0.0  0.0  0.0  1.0;ok
39885980090340;10.653667033347874;0.10843095312907469;-0.16150396171635195  0.8157618875241323  0.5553818625171234  8.582306315528216  -0.8258514273777233  -0.4198081810394405  0.3764711290796862  4.768012950185088  0.5402646483419962  -0.39786132508126737  0.7414988036109552  4.849795383972138  0.0  0.0  0.0  1.0;ok
39885980090371;7.825764243118106;0.02593873541813461;-0.005817951967284206  -0.6767168242476717  0.7362204093986073  7.444651252922054  -0.9986610879514706  0.041776573581427334  0.03050818433439314  5.993694369952899  -0.051402167721722514  -0.7350571798710234  -0.6760538140366977  -3.176536035632828  0.0  0.0  0.0  1.0;ok
39885980090402;6.3535513934385985;0.06345563566669246;-0.45411824602756773  0.8410505889430657  -0.2939566727655073  -1.066832559084895  -0.7212300336276369  -0.15332227914896207  0.6755142613668831  2.410560934421822  0.5230715603226036  0.5187737325222719  0.6762173890300265  1.7281339205239845  0.0  0.0  0.0  1.0;ok
39885980090433;6.8874917645610045;0.802168248081197;0.17667139030713053  -0.9624276490125248  -0.2062043652864105  6.4277197244726665  0.8280957051441801  0.25857968298376255  -0.4973872240717303  -5.222481263684282  0.5320194761178489  -0.08288285687790138  0.8426658347571999  2.7926081062230668  0.0  0.0  0.0  1.0;ok
39885980090464;6.2677651862134764;0.1696327332535698;0.7752797089804001  0.6105615024226864  0.16172824305797318  -3.5082923342306436  0.6252967965629826  -0.7780687637729585  -0.060107529053295215  -4.7593423727970405  0.08913635089759449  0.1477282999298796  -0.985003076314226  -2.092137184646011  0.0  0.0  0.0  1.0;ok
39885980090495;9.69087354585672;0.027487267986854184;0.5239739212964861  -0.851389936228149  0.024217891952259527  2.9941005367412163  -0.5332477174288082  -0.3500847388074728  -0.7701217744688627  10.770285565114975  0.6641522428315286  0.39060959043977805  -0.6374370135145268  -0.14571740124680274  0.0  0.0  0.0  1.0;ok
39885980090526;2.92110847772627;0.8852085539771931;-0.9433867801931333  0.04353993312586879  -0.3288246602373791  3.626486177599818  0.10879428387477211  0.9771222326931074  -0.18274557771123714  -0.31905466611517985  0.31334515594310425  -0.20817400558242902  -0.9265410927998593  -2.4828406512838814  0.0  0.0  0.0  1.0;ok
39885980090557;4.738076726601074;0.8988129743408255;-0.33857685036088947  0.1317420698021737  0.9316704049415436  2.510388354080212  -0.8056752706227382  -0.5520696221715737  -0.21472421983165674  7.6106058175001845  0.48605871528723543  -0.8233244556792756  0.29305932159504355  -4.791947731536225  0.0  0.0  0.0  1.0;ok
39885980090588;14.769319861057435;0.1257158498989125;-0.03812255672728441  -0.7224275075493561  -0.6903949355293675  -5.924969109628324  0.29840325109436794  -0.6676031281580876  0.6821008451906849  6.003677012318489  -0.9536782321123233  -0.1800126651365393  0.24102545505724832  -3.6258249178379365  0.0  0.0  0.0  1.0;ok
39885980090619;2.836952107880147;0.13717513967797446;-0.0687020940813382  0.9914460612324106  -0.11097175287242506  2.2297246862839932  -0.9850289271676783  -0.08504155400684665  -0.14995314846642196  4.262897167820151  -0.15810766873156776  0.09900829136410863  0.9824455828845832  -1.7235675707916034  0.0  0.0  0.0  1.0;ok
39885980090650;12.55893498698289;0.030353553359107218;0.20997145988351576  -0.9245223341723571  0.318073009937784  -5.27949328259375  0.9237395960738916  0.08099925430311872  -0.3743584905509453  -7.4996255038187245  0.32033910888249123  0.37242123250270703  0.8710254192051669  -1.8513336915425815  0.0  0.0  0.0  1.0;ok
39885980090681;13.661467239296929;0.06044974344258931;0.6860416954440479  -0.44482816981013135  -0.5757383880336843  5.628691851626392  0.2829310537725173  0.8921513100908494  -0.3521591383371372  5.240556930944602  0.6702960621422666  0.0787015835072638  0.7379087001994352  -11.662796502548591  0.0  0.0  0.0  1.0;ok
39885980090712;11.512393687205597;0.0365250185683809;0.8598853286105209  -0.4902852767805425  -0.1421884981726832  8.190744681173863  0.010340180100056301  -0.26174958499256734  0.9650804295144094  1.113026306636756  -0.5103825058873734  -0.8313287569478431  -0.22000498984268435  8.830112978335995  0.0  0.0  0.0  1.0;ok
39885980090743;17.098275178250592;0.15949820967907846;-0.06424861602166473  -0.9592470723404485  -0.2751675299623489  8.1919268179089  -0.20612652380255314  0.28254734409335597  -0.9368451603818354  -11.285964830022037  0.9764138321041833  -0.003471678566653688  -0.21587954030790799  -7.943517833291181  0.0  0.0  0.0  1.0;ok
39885980090774;10.611953381784044;0.08972593233289007;-0.6252377716120031  0.7792986485105444  -0.04208735414938172  5.258353658268285  -0.32171107161027657  -0.3064938615374589  -0.8958590844788172  -6.011870875377894  -0.7110412894853745  -0.5465849698532659  0.4423405423172062  4.375147156422433  0.0  0.0  0.0  1.0;ok
39885980090805;5.343071835957388;0.2747804413089843;-0.17738211862112763  -0.1293179595870448  -0.975608758325653  0.19371950686208037  0.684255791729738  0.6962996332764805  -0.21670448122581287  -6.490452017178167  0.7073398019889655  -0.7060054433411136  -0.03502454132358853  -1.3966528755640533  0.0  0.0  0.0  1.0;ok
39885980090836;5.261479947974986;0.5502877437904318;0.6270584683448448  0.10113531692420522  0.7723790034352684  -2.8880069318978796  -0.11211219499382896  0.9929301068994415  -0.03899562214313252  2.2438713104736028  -0.7708622010519667  -0.062140570349047075  0.6339637343776156  4.174970506248003  0.0  0.0  0.0  1.0;ok
39885980090867;12.813048896623984;0.019129781689464935;0.7553953283336118  -0.40157747249376374  0.5177967086775219  -5.475111592377701  0.5974445198746627  0.7466522949550255  -0.29252418038536265  2.5553211357848844  -0.2691429798517668  0.5303262052962443  0.8039379157451134  -7.543076702503007  0.0  0.0  0.0  1.0;ok
39885980090898;9.513150698671726;0.04017414870774305;-0.6030121731520004  0.7758701084980922  0.18547747510051255  10.444673667308246  0.6695654501267683  0.6186526795594136  -0.4110364583227333  -1.7972127406959801  -0.43365703848437687  -0.12367067887384178  -0.8925509151638594  -3.209910185161618  0.0  0.0  0.0  1.0;ok
