# registration_from_features.py FastGlobal FastGlobal_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/benchmark/point_clouds_registration_benchmark//planetary/box_met_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark//planetary/box_met/ --input_features_dir=/benchmark/experiments/FPFH/features/voxelgrid_0.1//planetary/box_met/ --output_dir=/benchmark/experiments/FPFH/results/voxelgrid_0.1/FastGlobal/
id;initial_error;final_error;transformation;status_code
7680147070030;7.545142590457825;6.5681399627797035;-0.9825375024536588  0.12259456159236157  -0.13996653078541046  -140.85913715931972  -0.08788084857696206  0.3572889933369258  0.9298502738041642  -6.73151153209949  0.16400308754873985  0.9259131431771895  -0.3402761210637879  10.361793572315303  0.0  0.0  0.0  1.0;ok
7680147070061;10.640926713711309;10.153888340104036;0.858406484832225  -0.512947942441345  -0.004766040618049769  6.212512355389809  0.5129481779593411  0.8584186415125247  -0.0012659510179544437  65.17323951105597  0.00474062508263101  -0.0013580312878168062  0.999987841038503  13.572170481019374  0.0  0.0  0.0  1.0;ok
7680147070092;9.025949366333345;4.543487383303074;-0.36263566247676843  0.8711436769669322  0.3310650546049364  -123.15696007030817  0.2580602466880114  -0.24748759311952354  0.9338922851866959  44.32643129096153  0.8954888527387473  0.4240973771817502  -0.13505972489310747  65.77202699164712  0.0  0.0  0.0  1.0;ok
7680147070123;4.786994884202932;10.473498200181737;0.9688897705618121  0.12326130393500481  0.2146142200622318  8.247474213214348  0.11765498179793035  0.5335049935038585  -0.8375737144661223  3.021885948013964  -0.2177381862669162  0.8367670361926849  0.5024052242786733  -32.89961875193954  0.0  0.0  0.0  1.0;ok
7680147070154;3.7582018651582403;5.134982664230046;0.7316356156427722  0.31505114469769296  0.6045263452883521  -13.225940393418753  -0.0253372022338233  -0.8736172894835963  0.48595355508350324  -9.72970443078622  0.6812248909912065  -0.3708579347135592  -0.6311870088602995  30.621416540791635  0.0  0.0  0.0  1.0;ok
7680147070185;16.676848449888578;15.866381385547461;0.812016396580322  -0.566976646606843  0.1384444072079619  -25.306007718254  0.5679423620676535  0.8222668143850685  0.03631472607696038  76.05975299152007  -0.13442784329788132  0.04914029063293093  0.9897041915556346  -7.168904822163483  0.0  0.0  0.0  1.0;ok
7680147070216;7.156480767462807;10.575143423863805;0.8440191189670966  -0.5311151220408371  0.07448794504851738  -9.241959209697882  0.055129022752757384  0.2240712572436273  0.9730122622698986  31.987794632847873  -0.5334721339192237  -0.8171345047278363  0.218400282771939  -31.539978392395795  0.0  0.0  0.0  1.0;ok
7680147070247;4.543534224825502;4.504386397382278;-0.18433451928690284  -0.339202773952418  0.9224761585766064  -106.14717527949009  -0.8691060528045176  0.4945580822955075  0.008183655341092659  -85.43894225444949  -0.45899395854174213  -0.8002210828134779  -0.38596731032952336  -40.407757286806984  0.0  0.0  0.0  1.0;ok
7680147070278;7.860980928997323;8.836496320617744;-0.7394488870259629  0.2980632267324277  0.6036337104121334  -142.0346016363404  -0.33965611251622313  0.6089814470532819  -0.7167812235091392  -21.042671662900222  -0.5812478547972745  -0.7350509574272704  -0.34907165636703125  -30.589451522226113  0.0  0.0  0.0  1.0;ok
7680147070309;12.21597775439826;9.723850726158268;-0.9800108890865578  -0.18274263703598412  0.07863705157817577  -120.15309000046904  0.1792477044327018  -0.9825590476489917  -0.049477048605500194  6.216954446939779  0.08630711284350387  -0.03439253541451112  0.995674764057209  3.6876267188935685  0.0  0.0  0.0  1.0;ok
7680147070340;9.621421568796105;10.455200370187452;-0.035469978341917785  -0.6929131020005658  -0.7201481192868427  32.899631264414474  0.8830011865263161  -0.3592039100467714  0.30212821053359046  30.38704626797205  -0.4680286158233723  -0.6251751627208686  0.6245840461358215  24.634740665420043  0.0  0.0  0.0  1.0;ok
7680147070371;4.530868269138677;10.740001616283065;0.5643325918008285  0.7154228750675566  -0.4119451852630781  1.4566483641352144  0.101132787756333  -0.5551487919958791  -0.82557978293206  -10.745964409890684  -0.8193295338702204  0.42424041365196075  -0.38564126640236635  -31.850128889957595  0.0  0.0  0.0  1.0;ok
7680147070402;11.153679177023038;13.743838939394614;-0.5669325207220055  0.7520935084702144  -0.33606974196549494  -56.84385556682755  -0.6347955387785883  -0.6588741899131692  -0.40363278585003975  -7.669973402482945  -0.5249972770354074  -0.01549697980984094  0.8509628092473728  1.5081002835232624  0.0  0.0  0.0  1.0;ok
7680147070433;6.5184452824883925;10.141906218453164;0.3907032024262631  -0.06838510358064842  -0.917973030770583  -8.581447747381707  -0.9022329737365897  0.1693221694832923  -0.3966177807712334  -3.417631154330452  0.1825559331171954  0.9831853744486518  0.0044554184960312665  5.038491859907007  0.0  0.0  0.0  1.0;ok
7680147070464;13.779157588035384;11.959038196483556;0.7776312519913039  -0.2960408055512737  0.5546615881553291  -7.29404760743988  0.1806828521176579  -0.7397649413229218  -0.6481524037910545  32.08108427949592  0.6021987569541035  0.6042414029492261  -0.5217748404100024  -1.3939264961842752  0.0  0.0  0.0  1.0;ok
7680147070495;6.966857986828599;11.18411555309374;0.4524935144587801  0.890891177127139  -0.03952884882920306  -49.13085209956944  -0.8425650483428876  0.4416274433578863  0.30830073075509373  -32.90474101672629  0.292119425378884  -0.1061984547448663  0.9504673216508355  22.65711154867195  0.0  0.0  0.0  1.0;ok
7680147070526;7.628096793483198;9.61975972842874;-0.254384166207109  -0.7260195091961611  0.6388930804521827  -27.44094472065686  0.3885555762251624  -0.6816874383146697  -0.6199409654380935  37.98724693415533  0.8856146228283766  0.09054230343076729  0.455509419355961  25.14537396418137  0.0  0.0  0.0  1.0;ok
7680147070557;12.205672054688245;11.85570744145644;0.487283998527006  -0.7441630225167337  -0.4569197967896473  -14.74705311755533  0.7407305453050911  0.629347358661371  -0.23503225607984318  61.67762839890292  0.46246358130295734  -0.2239269927112772  0.8578951788556254  70.48046028670437  0.0  0.0  0.0  1.0;ok
7680147070588;13.972588475444184;10.477375376214935;-0.052939997750244806  0.3195944301674973  0.9460743928698846  -103.79410208445023  0.7516120938720675  -0.6110182880186052  0.24846712469069  122.94251536741729  0.6574774650004743  0.7242348044058126  -0.20786373205497968  59.8936357445501  0.0  0.0  0.0  1.0;ok
7680147070619;9.983295395716265;7.7813083985423805;0.6708946410824844  0.7343331603223952  -0.1032239808267875  -13.110905286275424  -0.41682697934550833  0.25831080390218897  -0.8715106412873581  -19.00266632316492  -0.6133152940017907  0.6277183590100972  0.47938920712211186  18.729917470698265  0.0  0.0  0.0  1.0;ok
